ticker,name,market,sector
189300,인텔리안테크,KOSDAQ,Unknown
336570,원텍,KOSDAQ,Unknown
023160,태광,KOSDAQ,Unknown
241710,코스메카코리아,KOSDAQ,Unknown
399720,가온칩스,KOSDAQ,Unknown
125490,한라캐스트,KOSDAQ,Unknown
460930,현대힘스,KOSDAQ,Unknown
049630,재영솔루텍,KOSDAQ,Unknown
100790,미래에셋벤처투자,KOSDAQ,Unknown
032190,다우데이타,KOSDAQ,Unknown
251970,펌텍코리아,KOSDAQ,Unknown
102710,이엔에프테크놀로지,KOSDAQ,Unknown
372320,큐로셀,KOSDAQ,Unknown
036810,에프에스티,KOSDAQ,Unknown
389650,넥스트바이오메디컬,KOSDAQ,Unknown
053800,안랩,KOSDAQ,Unknown
131290,티에스이,KOSDAQ,Unknown
089970,브이엠,KOSDAQ,Unknown
074600,원익QnC,KOSDAQ GLOBAL,Unknown
