2026-01-15 20:19:23,864 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 일일 VCP 스캔 시작: 2026-01-15 20:19:23
2026-01-15 20:19:23,866 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 전체 KRX 종목 스캔 시작...
2026-01-15 20:19:23,866 - INFO - 🚀 Starting Real-Time Scan [Mode: vcp_flow]...
2026-01-15 20:19:30,103 - ERROR - Error for 228760: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,106 - ERROR - Error for 090360: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,107 - ERROR - Error for 399720: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,118 - ERROR - Error for 102710: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,122 - ERROR - Error for 251970: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,339 - ERROR - Error for 214430: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,356 - ERROR - Error for 032190: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,397 - ERROR - Error for 089970: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,418 - ERROR - Error for 131290: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,448 - ERROR - Error for 032820: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,458 - ERROR - Error for 475960: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,464 - ERROR - Error for 084110: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,468 - ERROR - Error for 220100: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,473 - ERROR - Error for 125490: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,479 - ERROR - Error for 052400: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:30,479 - ERROR - Error for 036810: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:03,450 - INFO - ==================================================
2026-01-16 16:00:03,453 - INFO - 일일 VCP 스캔 시작: 2026-01-16 16:00:03
2026-01-16 16:00:03,453 - INFO - ==================================================
2026-01-16 16:00:03,453 - INFO - 전체 KRX 종목 스캔 시작...
2026-01-16 16:00:03,453 - INFO - 🚀 Starting Real-Time Scan [Mode: vcp_flow]...
2026-01-16 16:00:05,287 - ERROR - Error for 0126Z0: 404 Client Error: Not Found for url: https://query2.finance.yahoo.com/v8/finance/chart/0126Z0?period1=1760770804&period2=1768546804&interval=1d&includeAdjustedClose=true
2026-01-16 16:00:06,714 - ERROR - Error for 030000: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:06,775 - ERROR - Error for 139480: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:06,933 - ERROR - Error for 087010: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:06,944 - ERROR - Error for 298380: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:06,975 - ERROR - Error for 000250: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:06,987 - ERROR - Error for 214450: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:06,999 - ERROR - Error for 058470: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,071 - ERROR - Error for 310210: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,137 - ERROR - Error for 347850: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,194 - ERROR - Error for 039030: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,202 - ERROR - Error for 214370: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,221 - ERROR - Error for 214150: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,233 - ERROR - Error for 108490: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
